url,match_id,team_1,team_2,win_runs,win_wickets,winner,match_drawn,match_abandoned,no_result,toss_winner,winner_choice,series,pom,match_number,city,date,day_night
https://www.espncricinfo.com/series/8048/scorecard/392181/chennai-super-kings-vs-mumbai-indians-1st-match-indian-premier-league-2009,392181,Mumbai Indians,Chennai Super Kings,19,NA,Mumbai Indians,NA,NA,NA,Chennai Super Kings,Field,Indian Premier League 2009,Sachin Tendulkar,1,Cape Town,Apr 18 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392239/royal-challengers-bangalore-vs-deccan-chargers-final-indian-premier-league-2009,392239,Deccan Chargers,Royal Challengers Bangalore,6,NA,Deccan Chargers,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2009,Anil Kumble,Final,Johannesburg,May 24 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392200/kings-xi-punjab-vs-mumbai-indians-20th-match-indian-premier-league-2009,392200,Kings XI Punjab,Mumbai Indians,3,NA,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2009,Kumar Sangakkara,20,Durban,Apr 29 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392202/chennai-super-kings-vs-rajasthan-royals-22nd-match-indian-premier-league-2009,392202,Chennai Super Kings,Rajasthan Royals,38,NA,Chennai Super Kings,NA,NA,NA,Rajasthan Royals,Field,Indian Premier League 2009,Suresh Raina,22,Centurion,Apr 30 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392204/royal-challengers-bangalore-vs-kings-xi-punjab-24th-match-indian-premier-league-2009,392204,Royal Challengers Bangalore,Kings XI Punjab,8,NA,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Bat,Indian Premier League 2009,Yuvraj Singh,24,Durban,May 1 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392206/chennai-super-kings-vs-delhi-daredevils-26th-match-indian-premier-league-2009,392206,Chennai Super Kings,Delhi Daredevils,18,NA,Chennai Super Kings,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2009,Shadab Jakati,26,Johannesburg,May 2 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392208/royal-challengers-bangalore-vs-mumbai-indians-28th-match-indian-premier-league-2009,392208,Mumbai Indians,Royal Challengers Bangalore,NA,9,Royal Challengers Bangalore,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2009,Jacques Kallis,28,Johannesburg,May 3 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392209/chennai-super-kings-vs-deccan-chargers-29th-match-indian-premier-league-2009,392209,Chennai Super Kings,Deccan Chargers,78,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2009,MS Dhoni,29,East London,May 4 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392211/delhi-daredevils-vs-kolkata-knight-riders-31st-match-indian-premier-league-2009,392211,Kolkata Knight Riders,Delhi Daredevils,NA,9,Delhi Daredevils,NA,NA,NA,Kolkata Knight Riders,Bat,Indian Premier League 2009,Gautam Gambhir,31,Durban,May 5 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392212/deccan-chargers-vs-mumbai-indians-32nd-match-indian-premier-league-2009,392212,Deccan Chargers,Mumbai Indians,19,NA,Deccan Chargers,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2009,Rohit Sharma,32,Centurion,May 6 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392182/royal-challengers-bangalore-vs-rajasthan-royals-2nd-match-indian-premier-league-2009,392182,Royal Challengers Bangalore,Rajasthan Royals,75,NA,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Bat,Indian Premier League 2009,Rahul Dravid,2,Cape Town,Apr 18 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392184/deccan-chargers-vs-kolkata-knight-riders-4th-match-indian-premier-league-2009,392184,Kolkata Knight Riders,Deccan Chargers,NA,8,Deccan Chargers,NA,NA,NA,Kolkata Knight Riders,Bat,Indian Premier League 2009,RP Singh,4,Cape Town,Apr 19 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392185/royal-challengers-bangalore-vs-chennai-super-kings-5th-match-indian-premier-league-2009,392185,Chennai Super Kings,Royal Challengers Bangalore,92,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2009,Muttiah Muralitharan,5,Port Elizabeth,Apr 20 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392187/mumbai-indians-vs-rajasthan-royals-7th-match-indian-premier-league-2009,392187,Mumbai Indians,Rajasthan Royals,NA,NA,NA,NA,Yes,NA,no toss,Bat,Indian Premier League 2009,,7,Durban,Apr 21 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392188/royal-challengers-bangalore-vs-deccan-chargers-8th-match-indian-premier-league-2009,392188,Deccan Chargers,Royal Challengers Bangalore,24,NA,Deccan Chargers,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2009,Adam Gilchrist,8,Cape Town,Apr 22 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392191/royal-challengers-bangalore-vs-kings-xi-punjab-11th-match-indian-premier-league-2009,392191,Royal Challengers Bangalore,Kings XI Punjab,NA,7,Kings XI Punjab,NA,NA,NA,Royal Challengers Bangalore,Bat,Indian Premier League 2009,Ravi Bopara,11,Durban,Apr 24 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392193/chennai-super-kings-vs-kolkata-knight-riders-13th-match-indian-premier-league-2009,392193,Chennai Super Kings,Kolkata Knight Riders,NA,NA,NA,NA,Yes,NA,no toss,Bat,Indian Premier League 2009,,13,Cape Town,Apr 25 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392195/kings-xi-punjab-vs-rajasthan-royals-15th-match-indian-premier-league-2009,392195,Kings XI Punjab,Rajasthan Royals,27,NA,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2009,Kumar Sangakkara,15,Cape Town,Apr 26 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392197/kolkata-knight-riders-vs-mumbai-indians-17th-match-indian-premier-league-2009,392197,Mumbai Indians,Kolkata Knight Riders,92,NA,Mumbai Indians,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2009,Sachin Tendulkar,17,Port Elizabeth,Apr 27 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392198/delhi-daredevils-vs-rajasthan-royals-18th-match-indian-premier-league-2009,392198,Delhi Daredevils,Rajasthan Royals,NA,5,Rajasthan Royals,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2009,Yusuf Pathan,18,Centurion,Apr 28 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392214/chennai-super-kings-vs-kings-xi-punjab-34th-match-indian-premier-league-2009,392214,Chennai Super Kings,Kings XI Punjab,12,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2009,Matthew Hayden,34,Centurion,May 7 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392215/delhi-daredevils-vs-mumbai-indians-35th-match-indian-premier-league-2009,392215,Mumbai Indians,Delhi Daredevils,NA,7,Delhi Daredevils,NA,NA,NA,Mumbai Indians,Bat,Indian Premier League 2009,Ashish Nehra,35,East London,May 8 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392217/chennai-super-kings-vs-rajasthan-royals-37th-match-indian-premier-league-2009,392217,Rajasthan Royals,Chennai Super Kings,NA,7,Chennai Super Kings,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2009,S Badrinath,37,Kimberley,May 9 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392219/delhi-daredevils-vs-kolkata-knight-riders-39th-match-indian-premier-league-2009,392219,Kolkata Knight Riders,Delhi Daredevils,NA,7,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Field,Indian Premier League 2009,Amit Mishra,39,Johannesburg,May 10 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392220/deccan-chargers-vs-rajasthan-royals-40th-match-indian-premier-league-2009,392220,Deccan Chargers,Rajasthan Royals,53,NA,Deccan Chargers,NA,NA,NA,Deccan Chargers,Bat,Indian Premier League 2009,Dwayne Smith,40,Kimberley,May 11 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392222/kings-xi-punjab-vs-mumbai-indians-42nd-match-indian-premier-league-2009,392222,Kings XI Punjab,Mumbai Indians,NA,8,Mumbai Indians,NA,NA,NA,Kings XI Punjab,Bat,Indian Premier League 2009,Harbhajan Singh,42,Centurion,May 12 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392223/deccan-chargers-vs-delhi-daredevils-43rd-match-indian-premier-league-2009,392223,Delhi Daredevils,Deccan Chargers,12,NA,Delhi Daredevils,NA,NA,NA,Deccan Chargers,Field,Indian Premier League 2009,Rajat Bhatia,43,Durban,May 13 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392225/mumbai-indians-vs-rajasthan-royals-45th-match-indian-premier-league-2009,392225,Rajasthan Royals,Mumbai Indians,2,NA,Rajasthan Royals,NA,NA,NA,Rajasthan Royals,Bat,Indian Premier League 2009,Shane Warne,45,Durban,May 14 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392226/delhi-daredevils-vs-kings-xi-punjab-46th-match-indian-premier-league-2009,392226,Delhi Daredevils,Kings XI Punjab,NA,6,Kings XI Punjab,NA,NA,NA,Kings XI Punjab,Field,Indian Premier League 2009,Brett Lee,46,Bloemfontein,May 15 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392228/deccan-chargers-vs-kolkata-knight-riders-48th-match-indian-premier-league-2009,392228,Kolkata Knight Riders,Deccan Chargers,NA,6,Deccan Chargers,NA,NA,NA,Deccan Chargers,Field,Indian Premier League 2009,Rohit Sharma,48,Johannesburg,May 16 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392230/delhi-daredevils-vs-rajasthan-royals-50th-match-indian-premier-league-2009,392230,Delhi Daredevils,Rajasthan Royals,14,NA,Delhi Daredevils,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2009,AB de Villiers,50,Bloemfontein,May 17 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392231/chennai-super-kings-vs-kolkata-knight-riders-51st-match-indian-premier-league-2009,392231,Chennai Super Kings,Kolkata Knight Riders,NA,7,Kolkata Knight Riders,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2009,Brad Hodge,51,Centurion,May 18 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392232/royal-challengers-bangalore-vs-delhi-daredevils-52nd-match-indian-premier-league-2009,392232,Delhi Daredevils,Royal Challengers Bangalore,NA,7,Royal Challengers Bangalore,NA,NA,NA,Delhi Daredevils,Bat,Indian Premier League 2009,Jacques Kallis,52,Johannesburg,May 19 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392234/chennai-super-kings-vs-kings-xi-punjab-54th-match-indian-premier-league-2009,392234,Chennai Super Kings,Kings XI Punjab,24,NA,Chennai Super Kings,NA,NA,NA,Chennai Super Kings,Bat,Indian Premier League 2009,Muttiah Muralitharan,54,Durban,May 20 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392236/royal-challengers-bangalore-vs-deccan-chargers-56th-match-indian-premier-league-2009,392236,Royal Challengers Bangalore,Deccan Chargers,12,NA,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Bat,Indian Premier League 2009,Manish Pandey,56,Centurion,May 21 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392237/delhi-daredevils-vs-deccan-chargers-1st-semi-final-indian-premier-league-2009,392237,Delhi Daredevils,Deccan Chargers,NA,6,Deccan Chargers,NA,NA,NA,Deccan Chargers,Field,Indian Premier League 2009,Adam Gilchrist,Eliminator,Centurion,May 22 2009,D/N
https://www.espncricinfo.com/series/8048/scorecard/392238/royal-challengers-bangalore-vs-chennai-super-kings-2nd-semi-final-indian-premier-league-2009,392238,Chennai Super Kings,Royal Challengers Bangalore,NA,6,Royal Challengers Bangalore,NA,NA,NA,Royal Challengers Bangalore,Field,Indian Premier League 2009,Manish Pandey,Eliminator,Johannesburg,May 23 2009,D/N
